,ts_code,trade_date,close,open,high,low,change,vol,amount
6,002013.SZ,20181031,8.35,8.3,8.56,7.04,-0.05,374297300.0,2958434010.78
7,002013.SZ,20180928,8.4,7.83,8.93,7.81,0.52,516505431.0,4386107907.35
8,002013.SZ,20180831,7.88,8.72,8.78,6.71,-0.83,569581364.0,4283334830.85
9,002013.SZ,20180731,8.71,7.54,9.09,7.5,1.14,531763594.0,4431565302.57
10,002013.SZ,20180629,7.57,7.36,8.17,6.81,0.19,301174069.0,2300506782.4
11,002013.SZ,20180531,7.38,7.87,8.63,7.21,-0.47,402715976.0,3197036118.37
12,002013.SZ,20180427,7.85,11.57,12.95,7.61,-3.71,453422039.0,5193809660.88
13,002013.SZ,20180330,11.56,9.6,11.68,9.56,1.86,409007636.0,4416007303.87
14,002013.SZ,20180228,9.7,10.03,10.12,8.16,-0.35,261159251.0,2376665647.58
15,002013.SZ,20180131,10.05,10.8,11.05,9.85,-0.74,200344649.0,2087398546.69
0,600893.SH,20190430,24.31,26.69,27.68,24.22,-2.09,253740235.0,6686071788.0
1,600893.SH,20190329,26.4,25.34,28.4,24.79,1.16,371295251.0,9740496429.0
2,600893.SH,20190228,25.24,22.05,26.38,22.03,3.24,189336030.0,4678006336.0
3,600893.SH,20190131,22.0,21.71,23.07,21.36,0.28,118722063.0,2662973245.0
4,600893.SH,20181228,21.72,23.8,24.18,21.28,-1.76,90709855.0,2063565216.0
5,600893.SH,20181130,23.48,22.88,24.63,22.84,0.69,127287283.0,3038112171.0
6,600893.SH,20181031,22.79,23.83,24.3,20.55,-1.27,109719245.0,2483256984.0
7,600893.SH,20180928,24.06,23.61,25.27,23.11,0.47,156182857.0,3795870581.0
8,600893.SH,20180831,23.59,23.91,24.38,21.8,-0.24,107862659.0,2469118574.0
9,600893.SH,20180731,23.83,22.32,25.1,22.17,1.51,159654750.0,3809449373.0
10,600893.SH,20180629,22.32,24.0,24.91,20.31,-1.74,123420067.0,2805614843.0
11,600893.SH,20180531,24.06,26.8,27.1,23.81,-2.76,213485686.0,5470519513.0
12,600893.SH,20180427,26.82,28.55,29.8,26.3,-1.44,388110494.0,10928943621.0
13,600893.SH,20180330,28.26,25.79,28.68,24.61,2.35,365616757.0,9776773210.0
14,600893.SH,20180228,25.91,24.99,27.65,22.1,1.0,171458715.0,4201212824.0
15,600893.SH,20180131,24.91,27.1,27.35,24.0,-2.0,194595153.0,5034261834.0
0,002190.SZ,20190430,18.6,16.8,21.56,16.56,1.84,135118171.0,2612895663.48
1,002190.SZ,20190329,16.76,20.11,22.6,16.01,-3.35,231956753.0,4569687767.34
2,002190.SZ,20190228,20.11,14.5,20.11,14.5,5.49,56181305.0,963036535.11
3,002190.SZ,20190131,14.62,16.12,17.26,14.44,-1.52,35099604.0,573413841.07
4,002190.SZ,20181228,16.14,17.88,18.0,15.75,-1.36,31292535.0,518876265.51
5,002190.SZ,20181130,17.5,15.9,18.56,15.88,1.6,47190491.0,815674133.51
6,002190.SZ,20181031,15.9,17.9,18.76,14.65,-2.23,37544813.0,627969786.9
7,002190.SZ,20180928,18.13,17.53,18.8,16.88,0.6,41307442.0,739611268.93
8,002190.SZ,20180831,17.53,19.3,19.4,16.51,-1.81,36703129.0,645334424.14
